pagina,voce_originale,destinazioni_alternative
16,"Abiti (cappelli, cinture, cravatte, indumenti in pile, scarpe, borse)",abiti|centro_di_raccolta
16,"Accendini, Accendisigari e Accendigas",rifiuto_non_recuperabile
16,Accessori auto,rifiuto_non_recuperabile
16,Adesivi,rifiuto_non_recuperabile
16,Aghi,rifiuto_non_recuperabile
16,Alberi di Natale naturali,centro_di_raccolta
16,Alberi di Natale sintetici,centro_di_raccolta
16,Alimenti avanzati o scaduti,organico
16,"Arredi in legno, ferro o plastica",centro_di_raccolta
16,Aspirapolvere,centro_di_raccolta
16,Assi da stiro,rifiuti_ingombranti|centro_di_raccolta
16,Assorbenti,rifiuto_non_recuperabile
16,Bacinelle e altri oggetti in plastica dura,rifiuto_non_recuperabile
16,Bacinelle in plastica di grandi dimensioni,centro_di_raccolta
16,Bancali in legno,centro_di_raccolta
16,Barattoli per alimenti in vetro,vetro_e_imballaggi_metallo
16,Barattoli per alimenti in alluminio,vetro_e_imballaggi_metallo
16,Batterie auto,centro_di_raccolta
16,Batterie telefonini,centro_di_raccolta
16,Bicchieri e coppette di carta,carta_e_cartone
16,Bicchieri di cristallo,rifiuto_non_recuperabile
16,Bicchieri di vetro,vetro_e_imballaggi_metallo
16,Bicchieri in materiale compostabile,organico
16,Bicchieri in plastica dura riutilizzabili,rifiuto_non_recuperabile
16,Bicchieri in plastica usa e getta,imballaggi_plastica
16,Biciclette,centro_di_raccolta
16,Bilance,centro_di_raccolta
16,Blister per pastiglie vuoti,vetro_e_imballaggi_metallo
16,Bombolette spray in alluminio (non infiammabili),vetro_e_imballaggi_metallo
16,Bombolette spray in plastica (non infiammabili),imballaggi_plastica
16,Bombolette spray infiammabili,centro_di_raccolta
16,Bombolette spray per alimenti,vetro_e_imballaggi_metallo
16,Bombolette spray per l’igiene (non infiammabili),vetro_e_imballaggi_metallo
16,Borsine in bioplastica,organico
16,Borsine di plastica,imballaggi_plastica
16,Borsine in tessuto,abiti
16,Bottiglie in bioplastica,organico
16,Bottiglie di plastica per bevande e/o olio,imballaggi_plastica
16,Bottiglie di vetro,vetro_e_imballaggi_metallo
16,Bottoni,rifiuto_non_recuperabile
16,Bucce di frutta o verdura,organico
16,Bulloneria,centro_di_raccolta
16,Buste di carta,carta_e_cartone
16,Buste di nylon e plastica,imballaggi_plastica
16,Bustine del tè,organico
16,Bustine di campioni cosmetici,rifiuto_non_recuperabile
16,Calcinacci (in piccole quantità),centro_di_raccolta
16,Calcolatrici,centro_di_raccolta
16,Calendari (solo componenti in carta),carta_e_cartone
16,Cancelleria,rifiuto_non_recuperabile
16,Capelli non trattati con tinture,organico
17,Capelli tinti,rifiuto_non_recuperabile
17,Capsule di caffè in alluminio senza residui,vetro_e_imballaggi_metallo
17,Capsule del caffè in plastica con residui di caffè,rifiuto_non_recuperabile
17,Capsule del caffè in plastica senza residui,imballaggi_plastica
17,Capsule di caffè compostabili,organico
17,Caraffe di ceramica o terracotta,rifiuto_non_recuperabile
17,Caraffe di vetro,vetro_e_imballaggi_metallo
17,Caricabatterie,centro_di_raccolta
17,Carta accoppiata con alluminio,rifiuto_non_recuperabile
17,Carta accoppiata con plastica,rifiuto_non_recuperabile
17,Carta assorbente da cucina non unta,carta_e_cartone
17,Carta assorbente da cucina unta,organico
17,Carta da forno,rifiuto_non_recuperabile
17,Carta da pacco,carta_e_cartone
17,Carta lucida da disegno,rifiuto_non_recuperabile
17,Carta oleata per alimenti,rifiuto_non_recuperabile
17,Carta plastificata,rifiuto_non_recuperabile
17,Carta sporca di prodotti detergenti o altre sostanze,rifiuto_non_recuperabile
17,Carta stagnola da cucina,vetro_e_imballaggi_metallo
17,Carta velina da cucina pulita,carta_e_cartone
17,Carta vetrata,rifiuto_non_recuperabile
17,Cartone da pizza pulito,carta_e_cartone
17,Cartone da pizza sporco (solo se certificato compostabile),organico
17,Cartone ondulato,carta_e_cartone
17,Cartucce filtranti per acqua,rifiuto_non_recuperabile
17,Cartucce per stampanti,centro_di_raccolta
17,Casco per moto,centro_di_raccolta
17,Casse di legno,centro_di_raccolta
17,Cassette da frutta di cartone,carta_e_cartone
17,Cassette da frutta in legno,centro_di_raccolta
17,Cassette e altri oggetti in plastica dura,centro_di_raccolta
17,Cavi elettrici,centro_di_raccolta
17,"CD, DVD, Blue-ray e relative custodie",rifiuto_non_recuperabile
17,"Cellulare, smartphone e tablet",centro_di_raccolta
17,Cenere di sigaretta (senza mozzicone),organico
17,Ceneri spente di caminetti,organico
17,Ceramiche,rifiuto_non_recuperabile
17,Cerchioni,centro_di_raccolta
17,Cerotti,rifiuto_non_recuperabile
17,Cestini portarifiuti in metallo e plastica,centro_di_raccolta
17,Chewing-gum,rifiuto_non_recuperabile
17,Chiavette usb,centro_di_raccolta
17,Chiusura in carta stagnola dello yogurt,vetro_e_imballaggi_metallo
17,Chiusure metalliche per vasetti di vetro,vetro_e_imballaggi_metallo
17,Cialde del caffè in stoffa o carta,organico
17,Colla,centro_di_raccolta
17,Collant,rifiuto_non_recuperabile
17,"Colori (tempera, acrilico ecc.)",centro_di_raccolta
17,Computer,centro_di_raccolta
18,Condizionatore,centro_di_raccolta
18,Confezioni in plastica,imballaggi_plastica
18,Confezioni in cartone per alimenti,carta_e_cartone
18,Consolle videogiochi,centro_di_raccolta
18,Contenitori vuoti di yogurt e dessert,imballaggi_plastica
18,Contenitori in plastica di prodotti liquidi per la pulizia della casa,imballaggi_plastica
18,Contenitori in plastica di prodotti liquidi per l’igiene personale,imballaggi_plastica
18,Contenitori in Tetra Pak,carta_e_cartone
18,Coperchi in plastica,imballaggi_plastica
18,"Coperte, plaid e trapunte",centro_di_raccolta|abiti
18,Cosmetici,rifiuto_non_recuperabile
18,Cotone idrofilo,rifiuto_non_recuperabile
18,Cotton fioc,rifiuto_non_recuperabile
18,Cristalli,rifiuto_non_recuperabile
18,Cuoio,rifiuto_non_recuperabile
18,Cuscini,centro_di_raccolta
18,Damigiane,centro_di_raccolta
18,Depliant e volantini pubblicitari,carta_e_cartone
18,Divani,rifiuti_ingombranti|centro_di_raccolta
18,Doghe,rifiuti_ingombranti|centro_di_raccolta
18,Elastici,rifiuto_non_recuperabile
18,Elettrodomestici di piccole dimensioni,centro_di_raccolta
18,Escrementi animali,rifiuto_non_recuperabile
18,Etichette adesive,rifiuto_non_recuperabile
18,Farmaci scaduti,centro_di_raccolta|farmaci
18,Fazzoletti di carta usati,organico
18,Feltrini,rifiuto_non_recuperabile
18,Ferri da stiro,centro_di_raccolta
18,Fiale (non adibite a contenere i farmaci),vetro_e_imballaggi_metallo
18,Fiammiferi e cerini,organico
18,Filo da cucire,rifiuto_non_recuperabile
18,Filtri del the,organico
