slug,azione,valore,nota
foglie-e-fiori-secchi,non_separare,,"secchi qualifica entrambi: separando, Fiori secchi perde il legame con Foglie"
termometri-digitali-e-a-mercurio,non_separare,,a mercurio è una variante dello stesso oggetto
polistirolo-per-alimenti-e-piccoli-imballaggi,non_separare,,due usi dello stesso materiale
depliant-e-volantini-pubblicitari,conferma,,due oggetti distinti
fiammiferi-e-cerini,conferma,,due oggetti distinti
giornali-e-riviste,conferma,,due oggetti distinti
mattoni-e-mattonelle,conferma,,due oggetti distinti
pannolini-e-pannoloni,conferma,,due oggetti distinti
parabrezza-e-paraurti-solo-da-utenze-domestiche,conferma,,due oggetti distinti
pentole-e-padelle,conferma,,due oggetti distinti
pettini-e-spazzole,conferma,,due oggetti distinti
pile-e-batterie,conferma,,due oggetti distinti
sapone-e-saponette,conferma,,due formati distinti
stracci-e-strofinacci,conferma,,due oggetti distinti
telecomandi-e-telefoni,conferma,,due oggetti distinti
oli-vegetali-esausti-olio-da-cucina,avvertenza,"In alternativa è possibile conferirli negli appositi contenitori dislocati in città, il cui elenco è consultabile su www.amiat.it","nota a piè di pagina del Rifiutologo, pagina 21"
bicchieri-in-materiale-compostabile,nome,Bicchieri,"restava ""Bicchieri in materiale"": il materiale se ne andava con la condizione"
piatti-in-materiale-compostabile,nome,Piatti,"restava ""Piatti in materiale"": il materiale se ne andava con la condizione"
tovaglioli-di-carta-bagnati-o-unti-di-cibo,nome,Tovaglioli di carta,"restava ""Tovaglioli di carta o di cibo"": la fonte dice bagnati O unti, e la congiunzione rimaneva orfana"
