comune,canale,destinazione,sforzo,titolo,passi,nota,da_verificare
Napoli,raccolta_ordinaria,,1,Lo butti da casa,Mettilo nel contenitore o nel sacco del colore giusto | Esponilo nei giorni e negli orari del calendario della tua zona,Il calendario cambia da municipalità a municipalità.,orari e calendario per municipalità
Napoli,ritiro_domicilio,,2,Lo ritirano a casa tua,Chiama il numero verde di ASIA e chiedi il ritiro ingombranti | Ti danno un giorno | La sera prima lascialo sul marciapiede davanti al portone,"Il servizio è gratuito. Non lasciarlo in strada senza aver prenotato: senza appuntamento è abbandono di rifiuti, ed è sanzionabile.",numero verde e giorni di servizio
Napoli,contenitore_dedicato,,3,Lo porti a un contenitore apposito,Cerca il contenitore dedicato a questo tipo di rifiuto | Buttalo lì dentro,"Sono contenitori piccoli e sparsi: alcuni in strada, altri dentro negozi e farmacie.",elenco dei punti di raccolta
Napoli,raccolta_itinerante,,4,Lo porti a un mezzo che passa in giorni fissi,Guarda sul sito di ASIA il calendario degli ecopunti della tua municipalità | Portalo lì nel giorno e nell'orario indicati,L'ecopunto non è un posto fisso: è un mezzo che sosta in una piazza per qualche ora. Se sbagli giorno non trovi nessuno.,calendario e piazze degli ecopunti
Napoli,centro_raccolta,,5,Lo porti tu all'isola ecologica,Porta un documento d'identità | Vai all'isola ecologica della tua zona negli orari di apertura | Consegnalo agli operatori,"Le isole ecologiche sono di due tipi: quella estesa accetta più tipologie della ridotta. Il conferimento è gratuito per i privati, entro i limiti di quantità previsti.",indirizzi e orari delle isole ecologiche
Torino,raccolta_ordinaria,,1,Lo butti da casa,Mettilo nel cassonetto del colore giusto,I cassonetti sono in strada e sempre disponibili.,
Torino,ritiro_domicilio,,2,Lo ritirano a casa tua,Prenota il ritiro ingombranti sul sito di AMIAT o per telefono | Ti danno un giorno | La sera prima lascialo sul marciapiede,"Il servizio è gratuito entro un certo numero di pezzi. Senza prenotazione è abbandono di rifiuti, ed è sanzionabile.",numero di pezzi gratuiti e recapiti
Torino,contenitore_dedicato,,3,Lo porti a un contenitore apposito,Cerca il contenitore dedicato a questo tipo di rifiuto | Buttalo lì dentro,"Sono contenitori piccoli e sparsi: alcuni in strada, altri dentro negozi e farmacie.",elenco dei punti di raccolta
Torino,centro_raccolta,,5,Lo porti tu a un centro di raccolta,Porta un documento d'identità | Vai al centro di raccolta della tua zona negli orari di apertura | Consegnalo agli operatori,Il conferimento è gratuito per i residenti entro i limiti di quantità previsti.,indirizzi e orari dei centri di raccolta
Napoli,contenitore_dedicato,Contenitore Abiti Usati,3,Lo porti al cassonetto degli abiti usati,"Metti gli indumenti in un sacco chiuso | Cerca il cassonetto giallo degli abiti usati, in strada | Infila il sacco nello sportello",Vanno conferiti puliti e asciutti: un sacco bagnato rovina anche il resto del contenuto.,posizione dei cassonetti per municipalità
Napoli,contenitore_dedicato,Contenitore Farmaco,3,Lo porti in farmacia,"Togli l'astuccio di cartone e il foglietto illustrativo, che vanno nella carta | Vai in una farmacia | Metti il farmaco nel contenitore bianco all'ingresso","Il contenitore è per i medicinali, non per le loro confezioni.",farmacie aderenti
Napoli,contenitore_dedicato,Contenitore Pile,3,Lo porti al contenitore delle pile,"Cerca il contenitore delle pile: dal tabaccaio, al supermercato o in un negozio di elettronica | Buttale lì dentro",Le pile non vanno mai nel sacco: contengono metalli che non devono finire in discarica.,punti di raccolta delle pile
Torino,contenitore_dedicato,abiti,3,Lo porti al cassonetto degli abiti usati,"Metti gli indumenti in un sacco chiuso | Cerca il cassonetto degli abiti usati, in strada | Infila il sacco nello sportello",Vanno conferiti puliti e asciutti: un sacco bagnato rovina anche il resto del contenuto.,posizione dei cassonetti
Torino,contenitore_dedicato,farmaci,3,Lo porti in farmacia,"Togli l'astuccio di cartone e il foglietto illustrativo, che vanno nella carta | Vai in una farmacia | Metti il farmaco nel contenitore all'ingresso","Il contenitore è per i medicinali, non per le loro confezioni.",farmacie aderenti
Torino,contenitore_dedicato,pile,3,Lo porti al contenitore delle pile,"Cerca il contenitore delle pile: dal tabaccaio, al supermercato o in un negozio di elettronica | Buttale lì dentro",Le pile non vanno mai nel cassonetto: contengono metalli che non devono finire in discarica.,punti di raccolta delle pile
Torino,contenitore_dedicato,olio_esausto,3,Lo porti al punto di raccolta dell'olio,Travasa l'olio freddo in una bottiglia di plastica e chiudila bene | Portala al punto di raccolta dell'olio esausto,L'olio non va versato direttamente nel contenitore né nel lavandino: un litro inquina migliaia di litri d'acqua.,punti di raccolta dell'olio
